n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups
15,1.0,short,low,44,M3 optimized,2,12.0,0.0032439231872558594,0.0062520503997802734,,6
15,1.0,short,low,45,M1 optimized,2,12.0,0.01509404182434082,0.021295785903930664,,6
15,1.0,short,low,45,M2 optimized,2,12.0,0.0030260086059570312,0.006117820739746094,,6
15,1.0,short,low,45,M3 optimized,2,12.0,0.0025298595428466797,0.005296945571899414,,6
15,1.0,short,low,46,M1 optimized,2,10.0,0.019213199615478516,0.026867151260375977,,5
15,1.0,short,low,46,M2 optimized,2,10.0,0.0037431716918945312,0.006978034973144531,,5
15,1.0,short,low,46,M3 optimized,2,10.0,0.00403904914855957,0.007075071334838867,,5
15,1.0,short,high,42,M1 optimized,2,16.0,0.03726506233215332,0.0479280948638916,,8
15,1.0,short,high,42,M2 optimized,2,16.0,0.007678985595703125,0.010773181915283203,,8
15,1.0,short,high,42,M3 optimized,2,16.0,0.0029211044311523438,0.004927873611450195,,8
15,1.0,short,high,43,M1 optimized,2,14.0,0.016643047332763672,0.02414417266845703,,7
15,1.0,short,high,43,M2 optimized,2,14.0,0.0038099288940429688,0.006825923919677734,,7
15,1.0,short,high,43,M3 optimized,2,14.0,0.0018608570098876953,0.004561901092529297,,7
15,1.0,short,high,44,M1 optimized,2,14.0,0.03534293174743652,0.043498992919921875,,7
15,1.0,short,high,44,M2 optimized,2,14.0,0.007921934127807617,0.011132001876831055,,7
15,1.0,short,high,44,M3 optimized,2,14.0,0.002032041549682617,0.004236936569213867,,7
15,1.0,short,high,45,M1 optimized,2,17.0,0.03186798095703125,0.03822803497314453,,9
15,1.0,short,high,45,M2 optimized,2,17.0,0.0161440372467041,0.019422054290771484,,9
15,1.0,short,high,45,M3 optimized,2,17.0,0.0017919540405273438,0.0032949447631835938,,9
15,1.0,short,high,46,M1 optimized,2,14.0,0.019940853118896484,0.027454853057861328,,7
15,1.0,short,high,46,M2 optimized,2,14.0,0.0036978721618652344,0.006951332092285156,,7
15,1.0,short,high,46,M3 optimized,2,14.0,0.002786874771118164,0.0050258636474609375,,7
15,1.0,long,low,42,M1 optimized,2,12.0,0.02112412452697754,0.03136491775512695,,6
15,1.0,long,low,42,M2 optimized,2,12.0,0.009057998657226562,0.011842012405395508,,6
15,1.0,long,low,42,M3 optimized,2,12.0,0.003895998001098633,0.008753061294555664,,6
15,1.0,long,low,43,M1 optimized,2,12.0,0.017017126083374023,0.024529218673706055,,6
15,1.0,long,low,43,M2 optimized,2,12.0,0.0031092166900634766,0.006532192230224609,,6
15,1.0,long,low,43,M3 optimized,2,12.0,0.004312038421630859,0.007662296295166016,,6
15,1.0,long,low,44,M1 optimized,2,12.0,0.021420001983642578,0.02937030792236328,,6
15,1.0,long,low,44,M2 optimized,2,12.0,0.004046916961669922,0.0067920684814453125,,6
15,1.0,long,low,44,M3 optimized,2,12.0,0.0029048919677734375,0.006030082702636719,,6
15,1.0,long,low,45,M1 optimized,2,12.0,0.028354883193969727,0.03557896614074707,,6
15,1.0,long,low,45,M2 optimized,2,12.0,0.012662887573242188,0.015434026718139648,,6
15,1.0,long,low,45,M3 optimized,2,12.0,0.0026879310607910156,0.005554914474487305,,6
15,1.0,long,low,46,M1 optimized,2,12.0,0.02010202407836914,0.02780890464782715,,6
15,1.0,long,low,46,M2 optimized,2,12.0,0.002974987030029297,0.005882978439331055,,6
15,1.0,long,low,46,M3 optimized,2,12.0,0.004190921783447266,0.00716400146484375,,6
15,1.0,long,high,42,M1 optimized,2,18.0,0.0430908203125,0.052468061447143555,,9
15,1.0,long,high,42,M2 optimized,2,18.0,0.00752711296081543,0.010334014892578125,,9
15,1.0,long,high,42,M3 optimized,2,18.0,0.0014910697937011719,0.0034499168395996094,,9
15,1.0,long,high,43,M1 optimized,2,14.0,0.03054213523864746,0.0385899543762207,,7
15,1.0,long,high,43,M2 optimized,2,14.0,0.0033979415893554688,0.006390094757080078,,7
15,1.0,long,high,43,M3 optimized,2,14.0,0.0025658607482910156,0.005074262619018555,,7
15,1.0,long,high,44,M1 optimized,2,16.0,0.042324066162109375,0.050248146057128906,,8
15,1.0,long,high,44,M2 optimized,2,16.0,0.009531974792480469,0.012490034103393555,,8
